pname	PID	interID	NumberID
il-2 receptor beta chain in t cell activation(BioCarta)	100129	101865	26550
pertussis toxin-insensitive ccr5 signaling in macrophage(BioCarta)	100214	103247	100189
pertussis toxin-insensitive ccr5 signaling in macrophage(BioCarta)	100214	103247	102233
pertussis toxin-insensitive ccr5 signaling in macrophage(BioCarta)	100214	103247	102232
trefoil factors initiate mucosal healing(BioCarta)	100018	100271	26550
trefoil factors initiate mucosal healing(BioCarta)	100018	100271	26550
trefoil factors initiate mucosal healing(BioCarta)	100018	100271	100560
trefoil factors initiate mucosal healing(BioCarta)	100018	100271	26549
trefoil factors initiate mucosal healing(BioCarta)	100018	100271	26549
cell cycle: g1/s check point(BioCarta)	100160	102432	101932
cell cycle: g1/s check point(BioCarta)	100160	102432	101008
cell cycle: g1/s check point(BioCarta)	100160	102432	101006
bcr signaling pathway(BioCarta)	100227	103455	100197
bcr signaling pathway(BioCarta)	100227	103455	100197
bcr signaling pathway(BioCarta)	100227	103455	100913
transcription factor creb and its extracellular signals(BioCarta)	100198	103015	101876
transcription factor creb and its extracellular signals(BioCarta)	100198	103015	101876
transcription factor creb and its extracellular signals(BioCarta)	100198	103015	100954
the co-stimulatory signal during t-cell activation(BioCarta)	100193	102942	26753
the co-stimulatory signal during t-cell activation(BioCarta)	100193	102942	26753
the co-stimulatory signal during t-cell activation(BioCarta)	100193	102942	100695
cd40l signaling pathway(BioCarta)	100213	103238	102230
cd40l signaling pathway(BioCarta)	100213	103238	102229
cd40l signaling pathway(BioCarta)	100213	103238	100757
cd40l signaling pathway(BioCarta)	100213	103238	100803
hemoglobins chaperone(BioCarta)	100250	103737	102411
hemoglobins chaperone(BioCarta)	100250	103737	102412
tumor suppressor arf inhibits ribosomal biogenesis(BioCarta)	100237	101119	100831
hypoxia and p53 in the cardiovascular system(BioCarta)	100084	101119	100831
tumor suppressor arf inhibits ribosomal biogenesis(BioCarta)	100237	101119	100119
hypoxia and p53 in the cardiovascular system(BioCarta)	100084	101119	100119
double stranded rna induced gene expression(BioCarta)	100040	100535	101060
double stranded rna induced gene expression(BioCarta)	100040	100535	101064
double stranded rna induced gene expression(BioCarta)	100040	100535	100773
agrin in postsynaptic differentiation(BioCarta)	100252	103774	100411
agrin in postsynaptic differentiation(BioCarta)	100252	103774	100411
agrin in postsynaptic differentiation(BioCarta)	100252	103774	26549
alternative complement pathway(BioCarta)	100243	103664	102376
alternative complement pathway(BioCarta)	100243	103664	100548
alternative complement pathway(BioCarta)	100243	103664	102377
cadmium induces dna synthesis and proliferation in macrophages(BioCarta)	100209	103199	100862
cadmium induces dna synthesis and proliferation in macrophages(BioCarta)	100209	103199	100862
cadmium induces dna synthesis and proliferation in macrophages(BioCarta)	100209	103199	3914
cadmium induces dna synthesis and proliferation in macrophages(BioCarta)	100209	103199	102222
p38 mapk signaling pathway(BioCarta)	100085	101147	101396
p38 mapk signaling pathway(BioCarta)	100085	101147	101396
p38 mapk signaling pathway(BioCarta)	100085	101147	26500
signaling pathway from g-protein families(BioCarta)	100153	102276	100697
signaling pathway from g-protein families(BioCarta)	100153	102276	100697
signaling pathway from g-protein families(BioCarta)	100153	102276	100750
signaling pathway from g-protein families(BioCarta)	100153	102276	10263
rac1 cell motility signaling pathway(BioCarta)	100056	100736	100735
rac1 cell motility signaling pathway(BioCarta)	100056	100736	100735
rac1 cell motility signaling pathway(BioCarta)	100056	100736	101189
transcription factor creb and its extracellular signals(BioCarta)	100198	103013	101876
transcription factor creb and its extracellular signals(BioCarta)	100198	103013	101876
transcription factor creb and its extracellular signals(BioCarta)	100198	103013	101992
phosphoinositides and their downstream targets(BioCarta)	100059	100810	101130
phosphoinositides and their downstream targets(BioCarta)	100059	100810	101130
phosphoinositides and their downstream targets(BioCarta)	100059	100810	101202
regulation of map kinase pathways through dual specificity phosphatases(BioCarta)	100185	102867	100191
regulation of map kinase pathways through dual specificity phosphatases(BioCarta)	100185	102867	100191
regulation of map kinase pathways through dual specificity phosphatases(BioCarta)	100185	102867	100493
calcium signaling by hbx of hepatitis b virus(BioCarta)	100150	100159	26550
igf-1 signaling pathway(BioCarta)	100136	100159	26550
pdgf signaling pathway(BioCarta)	100077	100159	26550
t cell receptor signaling pathway(BioCarta)	100022	100159	26550
links between pyk2 and map kinases(BioCarta)	100057	100159	26550
tpo signaling pathway(BioCarta)	100012	100159	26550
bcr signaling pathway(BioCarta)	100227	100159	26550
nerve growth factor pathway (ngf)(BioCarta)	100096	100159	26550
calcium signaling by hbx of hepatitis b virus(BioCarta)	100150	100159	26550
igf-1 signaling pathway(BioCarta)	100136	100159	26550
pdgf signaling pathway(BioCarta)	100077	100159	26550
t cell receptor signaling pathway(BioCarta)	100022	100159	26550
links between pyk2 and map kinases(BioCarta)	100057	100159	26550
tpo signaling pathway(BioCarta)	100012	100159	26550
bcr signaling pathway(BioCarta)	100227	100159	26550
nerve growth factor pathway (ngf)(BioCarta)	100096	100159	26550
transcription regulation by methyltransferase of carm1(BioCarta)	100220	103333_2	102255
transcription regulation by methyltransferase of carm1(BioCarta)	100220	103333_2	100883
keratinocyte differentiation(BioCarta)	100119	101739	35
keratinocyte differentiation(BioCarta)	100119	101739	44
keratinocyte differentiation(BioCarta)	100119	101739	100264
keratinocyte differentiation(BioCarta)	100119	101739	100697
keratinocyte differentiation(BioCarta)	100119	101739	100697
fc epsilon receptor i signaling in mast cells(BioCarta)	100165	102526	100052
fc epsilon receptor i signaling in mast cells(BioCarta)	100165	102526	100052
fc epsilon receptor i signaling in mast cells(BioCarta)	100165	102526	100124
role of pi3k subunit p85 in regulation of actin organization and cell migration(BioCarta)	100211	103222	100329
role of pi3k subunit p85 in regulation of actin organization and cell migration(BioCarta)	100211	103222	100329
role of pi3k subunit p85 in regulation of actin organization and cell migration(BioCarta)	100211	103222	101032
eukaryotic protein translation(BioCarta)	100177	102690	102028
eukaryotic protein translation(BioCarta)	100177	102690	102025
eukaryotic protein translation(BioCarta)	100177	102690	102027
eukaryotic protein translation(BioCarta)	100177	102690	102026
skeletal muscle hypertrophy is regulated via akt-mtor pathway(BioCarta)	100137	102000	101538
skeletal muscle hypertrophy is regulated via akt-mtor pathway(BioCarta)	100137	102000	101538
skeletal muscle hypertrophy is regulated via akt-mtor pathway(BioCarta)	100137	102000	101191
role of erk5 in neuronal survival pathway(BioCarta)	100171	102616	100457
role of erk5 in neuronal survival pathway(BioCarta)	100171	102616	101995
role of erk5 in neuronal survival pathway(BioCarta)	100171	102616	26766
chromatin remodeling by hswi/snf atp-dependent complexes(BioCarta)	100141	102036	101833
chromatin remodeling by hswi/snf atp-dependent complexes(BioCarta)	100141	102036	101834
chromatin remodeling by hswi/snf atp-dependent complexes(BioCarta)	100141	102036	101353
mtor signaling pathway(BioCarta)	100101	101447	101539
mtor signaling pathway(BioCarta)	100101	101447	101544
mtor signaling pathway(BioCarta)	100101	101447	101533
mtor signaling pathway(BioCarta)	100101	101447	101543
mtor signaling pathway(BioCarta)	100101	101447	101535
mtor signaling pathway(BioCarta)	100101	101447	101542
mtor signaling pathway(BioCarta)	100101	101447	101530
mtor signaling pathway(BioCarta)	100101	101447	101532
hiv-1 nef: negative effector of fas and tnf(BioCarta)	100144	102078	26598
hiv-1 nef: negative effector of fas and tnf(BioCarta)	100144	102078	26598
hiv-1 nef: negative effector of fas and tnf(BioCarta)	100144	102078	101846
wnt signaling pathway(BioCarta)	100002	100039	100641
inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages(BioCarta)	100152	100039	100641
wnt signaling pathway(BioCarta)	100002	100039	100642
inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages(BioCarta)	100152	100039	100642
trefoil factors initiate mucosal healing(BioCarta)	100018	100267	100061
fc epsilon receptor i signaling in mast cells(BioCarta)	100165	100267	100061
angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling(BioCarta)	100236	100267	100061
phospholipids as signalling intermediaries(BioCarta)	100183	100267	100061
role of mal in rho-mediated activation of srf(BioCarta)	100114	100267	100061
il-2 receptor beta chain in t cell activation(BioCarta)	100129	100267	100061
roles of ß arrestin dependent recruitment of src kinases in gpcr signaling(BioCarta)	100230	100267	100061
role of erk5 in neuronal survival pathway(BioCarta)	100171	100267	100061
sprouty regulation of tyrosine kinase signals(BioCarta)	100029	100267	100061
regulation of splicing through sam68(BioCarta)	100036	100267	100061
erk1/erk2 mapk signaling pathway(BioCarta)	100170	100267	100061
role of erbb2 in signal transduction and oncology(BioCarta)	100147	100267	100061
keratinocyte differentiation(BioCarta)	100119	100267	100061
cadmium induces dna synthesis and proliferation in macrophages(BioCarta)	100209	100267	100061
ceramide signaling pathway(BioCarta)	100206	100267	100061
melanocyte development and pigmentation pathway(BioCarta)	100108	100267	100061
phosphorylation of mek1 by cdk5/p35 down regulates the map kinase pathway(BioCarta)	100210	100267	100061
influence of ras and rho proteins on g1 to s transition(BioCarta)	100054	100267	100061
role of egf receptor transactivation by gpcrs in cardiac hypertrophy(BioCarta)	100221	100267	100061
trefoil factors initiate mucosal healing(BioCarta)	100018	100267	100061
fc epsilon receptor i signaling in mast cells(BioCarta)	100165	100267	100061
angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling(BioCarta)	100236	100267	100061
phospholipids as signalling intermediaries(BioCarta)	100183	100267	100061
role of mal in rho-mediated activation of srf(BioCarta)	100114	100267	100061
il-2 receptor beta chain in t cell activation(BioCarta)	100129	100267	100061
roles of ß arrestin dependent recruitment of src kinases in gpcr signaling(BioCarta)	100230	100267	100061
role of erk5 in neuronal survival pathway(BioCarta)	100171	100267	100061
sprouty regulation of tyrosine kinase signals(BioCarta)	100029	100267	100061
regulation of splicing through sam68(BioCarta)	100036	100267	100061
erk1/erk2 mapk signaling pathway(BioCarta)	100170	100267	100061
role of erbb2 in signal transduction and oncology(BioCarta)	100147	100267	100061
keratinocyte differentiation(BioCarta)	100119	100267	100061
cadmium induces dna synthesis and proliferation in macrophages(BioCarta)	100209	100267	100061
ceramide signaling pathway(BioCarta)	100206	100267	100061
melanocyte development and pigmentation pathway(BioCarta)	100108	100267	100061
phosphorylation of mek1 by cdk5/p35 down regulates the map kinase pathway(BioCarta)	100210	100267	100061
influence of ras and rho proteins on g1 to s transition(BioCarta)	100054	100267	100061
role of egf receptor transactivation by gpcrs in cardiac hypertrophy(BioCarta)	100221	100267	100061
trefoil factors initiate mucosal healing(BioCarta)	100018	100267	100048
fc epsilon receptor i signaling in mast cells(BioCarta)	100165	100267	100048
angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling(BioCarta)	100236	100267	100048
phospholipids as signalling intermediaries(BioCarta)	100183	100267	100048
role of mal in rho-mediated activation of srf(BioCarta)	100114	100267	100048
il-2 receptor beta chain in t cell activation(BioCarta)	100129	100267	100048
roles of ß arrestin dependent recruitment of src kinases in gpcr signaling(BioCarta)	100230	100267	100048
role of erk5 in neuronal survival pathway(BioCarta)	100171	100267	100048
sprouty regulation of tyrosine kinase signals(BioCarta)	100029	100267	100048
regulation of splicing through sam68(BioCarta)	100036	100267	100048
erk1/erk2 mapk signaling pathway(BioCarta)	100170	100267	100048
role of erbb2 in signal transduction and oncology(BioCarta)	100147	100267	100048
keratinocyte differentiation(BioCarta)	100119	100267	100048
cadmium induces dna synthesis and proliferation in macrophages(BioCarta)	100209	100267	100048
ceramide signaling pathway(BioCarta)	100206	100267	100048
melanocyte development and pigmentation pathway(BioCarta)	100108	100267	100048
phosphorylation of mek1 by cdk5/p35 down regulates the map kinase pathway(BioCarta)	100210	100267	100048
influence of ras and rho proteins on g1 to s transition(BioCarta)	100054	100267	100048
role of egf receptor transactivation by gpcrs in cardiac hypertrophy(BioCarta)	100221	100267	100048
trefoil factors initiate mucosal healing(BioCarta)	100018	100267	100062
fc epsilon receptor i signaling in mast cells(BioCarta)	100165	100267	100062
angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling(BioCarta)	100236	100267	100062
phospholipids as signalling intermediaries(BioCarta)	100183	100267	100062
role of mal in rho-mediated activation of srf(BioCarta)	100114	100267	100062
il-2 receptor beta chain in t cell activation(BioCarta)	100129	100267	100062
roles of ß arrestin dependent recruitment of src kinases in gpcr signaling(BioCarta)	100230	100267	100062
role of erk5 in neuronal survival pathway(BioCarta)	100171	100267	100062
sprouty regulation of tyrosine kinase signals(BioCarta)	100029	100267	100062
regulation of splicing through sam68(BioCarta)	100036	100267	100062
erk1/erk2 mapk signaling pathway(BioCarta)	100170	100267	100062
role of erbb2 in signal transduction and oncology(BioCarta)	100147	100267	100062
keratinocyte differentiation(BioCarta)	100119	100267	100062
cadmium induces dna synthesis and proliferation in macrophages(BioCarta)	100209	100267	100062
ceramide signaling pathway(BioCarta)	100206	100267	100062
melanocyte development and pigmentation pathway(BioCarta)	100108	100267	100062
phosphorylation of mek1 by cdk5/p35 down regulates the map kinase pathway(BioCarta)	100210	100267	100062
influence of ras and rho proteins on g1 to s transition(BioCarta)	100054	100267	100062
role of egf receptor transactivation by gpcrs in cardiac hypertrophy(BioCarta)	100221	100267	100062
trefoil factors initiate mucosal healing(BioCarta)	100018	100267	100062
fc epsilon receptor i signaling in mast cells(BioCarta)	100165	100267	100062
angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling(BioCarta)	100236	100267	100062
phospholipids as signalling intermediaries(BioCarta)	100183	100267	100062
role of mal in rho-mediated activation of srf(BioCarta)	100114	100267	100062
il-2 receptor beta chain in t cell activation(BioCarta)	100129	100267	100062
roles of ß arrestin dependent recruitment of src kinases in gpcr signaling(BioCarta)	100230	100267	100062
role of erk5 in neuronal survival pathway(BioCarta)	100171	100267	100062
sprouty regulation of tyrosine kinase signals(BioCarta)	100029	100267	100062
regulation of splicing through sam68(BioCarta)	100036	100267	100062
erk1/erk2 mapk signaling pathway(BioCarta)	100170	100267	100062
role of erbb2 in signal transduction and oncology(BioCarta)	100147	100267	100062
keratinocyte differentiation(BioCarta)	100119	100267	100062
cadmium induces dna synthesis and proliferation in macrophages(BioCarta)	100209	100267	100062
ceramide signaling pathway(BioCarta)	100206	100267	100062
melanocyte development and pigmentation pathway(BioCarta)	100108	100267	100062
phosphorylation of mek1 by cdk5/p35 down regulates the map kinase pathway(BioCarta)	100210	100267	100062
influence of ras and rho proteins on g1 to s transition(BioCarta)	100054	100267	100062
role of egf receptor transactivation by gpcrs in cardiac hypertrophy(BioCarta)	100221	100267	100062
sonic hedgehog receptor ptc1 regulates cell cycle(BioCarta)	100060	100845	26607
sonic hedgehog receptor ptc1 regulates cell cycle(BioCarta)	100060	100845	100956
sonic hedgehog receptor ptc1 regulates cell cycle(BioCarta)	100060	100845	100367
nitric oxide signaling pathway(BioCarta)	100092	101244	25114
nitric oxide signaling pathway(BioCarta)	100092	101244	101445
nitric oxide signaling pathway(BioCarta)	100092	101244	101446
nitric oxide signaling pathway(BioCarta)	100092	101244	101193
signal transduction through il1r(BioCarta)	100132	101924_4	100748
signal transduction through il1r(BioCarta)	100132	101924_4	101737
p38 mapk signaling pathway(BioCarta)	100085	101137	27198
p38 mapk signaling pathway(BioCarta)	100085	101137	27198
p38 mapk signaling pathway(BioCarta)	100085	101137	26500
visceral fat deposits and the metabolic syndrome(BioCarta)	100004	100061	695
visceral fat deposits and the metabolic syndrome(BioCarta)	100004	100061	100664
visceral fat deposits and the metabolic syndrome(BioCarta)	100004	100061	100663
mechanism of gene regulation by peroxisome proliferators via ppara(BioCarta)	100066	100886	100442
mechanism of gene regulation by peroxisome proliferators via ppara(BioCarta)	100066	100886	100442
mechanism of gene regulation by peroxisome proliferators via ppara(BioCarta)	100066	100886	101198
ccr3 signaling in eosinophils(BioCarta)	100215	103267	102239
ccr3 signaling in eosinophils(BioCarta)	100215	103267	102239
ccr3 signaling in eosinophils(BioCarta)	100215	103267	101521
trefoil factors initiate mucosal healing(BioCarta)	100018	100027	100605
apoptotic signaling in response to dna damage(BioCarta)	100204	100027	100605
regulation of cell cycle progression by plk3(BioCarta)	100068	100027	100605
west nile virus(BioCarta)	100001	100027	100605
hiv-1 nef: negative effector of fas and tnf(BioCarta)	100144	100027	100605
trefoil factors initiate mucosal healing(BioCarta)	100018	100027	100382
apoptotic signaling in response to dna damage(BioCarta)	100204	100027	100382
regulation of cell cycle progression by plk3(BioCarta)	100068	100027	100382
west nile virus(BioCarta)	100001	100027	100382
hiv-1 nef: negative effector of fas and tnf(BioCarta)	100144	100027	100382
trefoil factors initiate mucosal healing(BioCarta)	100018	100027	100632
apoptotic signaling in response to dna damage(BioCarta)	100204	100027	100632
regulation of cell cycle progression by plk3(BioCarta)	100068	100027	100632
west nile virus(BioCarta)	100001	100027	100632
hiv-1 nef: negative effector of fas and tnf(BioCarta)	100144	100027	100632
inhibition of huntingtons disease neurodegeneration by histone deacetylase inhibitors(BioCarta)	100140	102029	101828
inhibition of huntingtons disease neurodegeneration by histone deacetylase inhibitors(BioCarta)	100140	102029	101828
ctcf: first multivalent nuclear factor(BioCarta)	100194	102956	101191
ctcf: first multivalent nuclear factor(BioCarta)	100194	102956	101191
ctcf: first multivalent nuclear factor(BioCarta)	100194	102956	102134
bioactive peptide induced signaling pathway(BioCarta)	100226	103427	101193
bioactive peptide induced signaling pathway(BioCarta)	100226	103427	102280
bioactive peptide induced signaling pathway(BioCarta)	100226	103427	26804
role of mitochondria in apoptotic signaling(BioCarta)	100106	101506	101574
role of mitochondria in apoptotic signaling(BioCarta)	100106	101506	101574
role of mitochondria in apoptotic signaling(BioCarta)	100106	101506	101572
phosphoinositides and their downstream targets(BioCarta)	100059	100840	100735
phosphoinositides and their downstream targets(BioCarta)	100059	100840	100735
phosphoinositides and their downstream targets(BioCarta)	100059	100840	101204
the information processing pathway at the ifn beta enhancer(BioCarta)	100079	101070	101357
the information processing pathway at the ifn beta enhancer(BioCarta)	100079	101070	101066
p38 mapk signaling pathway(BioCarta)	100085	101154	101399
p38 mapk signaling pathway(BioCarta)	100085	101154	101399
p38 mapk signaling pathway(BioCarta)	100085	101154	101397
the 41bb-dependent immune response(BioCarta)	100257	103837_2	101770
the 41bb-dependent immune response(BioCarta)	100257	103837_2	100203
the 41bb-dependent immune response(BioCarta)	100257	103837_2	100799
the 41bb-dependent immune response(BioCarta)	100257	103837_2	101348
transcriptional activation of dbpb from mrna(BioCarta)	100190	102916	100626
transcriptional activation of dbpb from mrna(BioCarta)	100190	102916	100626
transcriptional activation of dbpb from mrna(BioCarta)	100190	102916	102108
ctcf: first multivalent nuclear factor(BioCarta)	100194	102957	100440
ctcf: first multivalent nuclear factor(BioCarta)	100194	102957	102135
b cell survival pathway(BioCarta)	100228	103475	100602
b cell survival pathway(BioCarta)	100228	103475	100602
b cell survival pathway(BioCarta)	100228	103475	100734
ras-independent pathway in nk cell-mediated cytotoxicity(BioCarta)	100095	101294	26785
ras-independent pathway in nk cell-mediated cytotoxicity(BioCarta)	100095	101294	26785
ras-independent pathway in nk cell-mediated cytotoxicity(BioCarta)	100095	101294	101469
phosphoinositides and their downstream targets(BioCarta)	100059	100834	27561
fc epsilon receptor i signaling in mast cells(BioCarta)	100165	100834	27561
phosphoinositides and their downstream targets(BioCarta)	100059	100834	27561
fc epsilon receptor i signaling in mast cells(BioCarta)	100165	100834	27561
phosphoinositides and their downstream targets(BioCarta)	100059	100834	26786
fc epsilon receptor i signaling in mast cells(BioCarta)	100165	100834	26786
il-2 receptor beta chain in t cell activation(BioCarta)	100129	101880_3	101008
il-2 receptor beta chain in t cell activation(BioCarta)	100129	101880_3	101769
hiv-1 nef: negative effector of fas and tnf(BioCarta)	100144	102096	101020
hiv-1 nef: negative effector of fas and tnf(BioCarta)	100144	102096	101022
hiv-1 nef: negative effector of fas and tnf(BioCarta)	100144	102096	100383
human cytomegalovirus and map kinase pathways(BioCarta)	100149	102178	100061
human cytomegalovirus and map kinase pathways(BioCarta)	100149	102178	100061
human cytomegalovirus and map kinase pathways(BioCarta)	100149	102178	101871
human cytomegalovirus and map kinase pathways(BioCarta)	100149	102178	100062
human cytomegalovirus and map kinase pathways(BioCarta)	100149	102178	100062
mechanism of acetaminophen activity and toxicity(BioCarta)	100256	103827	102463
mechanism of acetaminophen activity and toxicity(BioCarta)	100256	103827	102464
actions of nitric oxide in the heart(BioCarta)	100094	101283	101457
actions of nitric oxide in the heart(BioCarta)	100094	101283	101457
actions of nitric oxide in the heart(BioCarta)	100094	101283	100294
rac1 cell motility signaling pathway(BioCarta)	100056	100747	101070
rac1 cell motility signaling pathway(BioCarta)	100056	100747	101070
rac1 cell motility signaling pathway(BioCarta)	100056	100747	101071
polyadenylation of mrna(BioCarta)	100199	103027	102163
polyadenylation of mrna(BioCarta)	100199	103027	102164
polyadenylation of mrna(BioCarta)	100199	103027	102154
mtor signaling pathway(BioCarta)	100101	101441	101393
mtor signaling pathway(BioCarta)	100101	101441	101530
mtor signaling pathway(BioCarta)	100101	101441	101533
mtor signaling pathway(BioCarta)	100101	101441	101532
mtor signaling pathway(BioCarta)	100101	101441	101534
proteolysis and signaling pathway of notch(BioCarta)	100091	101233	101436
proteolysis and signaling pathway of notch(BioCarta)	100091	101233	100582
proteolysis and signaling pathway of notch(BioCarta)	100091	101233	28143
proteolysis and signaling pathway of notch(BioCarta)	100091	101233	101435
proteolysis and signaling pathway of notch(BioCarta)	100091	101233	100583
human cytomegalovirus and map kinase pathways(BioCarta)	100149	102194	100799
human cytomegalovirus and map kinase pathways(BioCarta)	100149	102194	100799
human cytomegalovirus and map kinase pathways(BioCarta)	100149	102194	26500
stress induction of hsp regulation(BioCarta)	100142	102044	101839
stress induction of hsp regulation(BioCarta)	100142	102044	101395
mets affect on macrophage differentiation(BioCarta)	100169	102584	101979
mets affect on macrophage differentiation(BioCarta)	100169	102584	101982
mets affect on macrophage differentiation(BioCarta)	100169	102584	100748
ß-arrestins in gpcr desensitization(BioCarta)	100231	103512	101503
ß-arrestins in gpcr desensitization(BioCarta)	100231	103512	102295
ß-arrestins in gpcr desensitization(BioCarta)	100231	103512	102289
wnt signaling pathway(BioCarta)	100002	100046_2	100650
wnt signaling pathway(BioCarta)	100002	100046_2	100440
wnt signaling pathway(BioCarta)	100002	100046_2	100646
epo signaling pathway(BioCarta)	100175	102670	27561
epo signaling pathway(BioCarta)	100175	102670	27561
epo signaling pathway(BioCarta)	100175	102670	102021
toll-like receptor pathway(BioCarta)	100013	100189	100792
toll-like receptor pathway(BioCarta)	100013	100189	100792
toll-like receptor pathway(BioCarta)	100013	100189	26598
growth hormone signaling pathway(BioCarta)	100155	102320	101523
growth hormone signaling pathway(BioCarta)	100155	102320	101523
growth hormone signaling pathway(BioCarta)	100155	102320	101892
fosb gene expression and drug abuse(BioCarta)	100161	102439	101941
fosb gene expression and drug abuse(BioCarta)	100161	102439	101941
fosb gene expression and drug abuse(BioCarta)	100161	102439	26482
ifn alpha signaling pathway(BioCarta)	100139	102009	100230
ifn gamma signaling pathway(BioCarta)	100138	102009	100230
ifn alpha signaling pathway(BioCarta)	100139	102009	101817
ifn gamma signaling pathway(BioCarta)	100138	102009	101817
ifn alpha signaling pathway(BioCarta)	100139	102009	100230
ifn gamma signaling pathway(BioCarta)	100138	102009	100230
role of egf receptor transactivation by gpcrs in cardiac hypertrophy(BioCarta)	100221	103343	27561
role of egf receptor transactivation by gpcrs in cardiac hypertrophy(BioCarta)	100221	103343	27561
role of egf receptor transactivation by gpcrs in cardiac hypertrophy(BioCarta)	100221	103343	102259
phospholipids as signalling intermediaries(BioCarta)	100183	102836	35
phospholipids as signalling intermediaries(BioCarta)	100183	102836	44
